,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-05-18,54.944,37,43.232,20,6.661,4,30.227,19,7.099,5,2.746,2,26.766,18,125.259,72,3.252,2,7.643,5,4.211,3,25.608,16,0.000,0,4.861,3
2014-05-19,56.018,39,22.838,14,11.514,7,50.921,33,11.200,8,7.757,5,15.329,9,3.782,2,0.000,0,1.122,1,0.000,0,3.146,2,0.000,0,4.347,3
2014-05-20,52.087,34,44.089,24,8.972,4,24.225,17,29.702,20,20.182,12,4.257,3,8.522,6,4.462,3,3.375,3,1.491,1,11.633,5,5.656,4,7.697,5
2014-05-21,54.955,33,30.473,19,2.391,2,22.709,15,42.899,25,2.406,1,5.642,4,17.398,10,5.651,3,2.427,2,1.680,1,7.747,7,0.000,0,1.777,1
2014-05-22,72.285,45,39.115,25,3.742,2,24.236,17,41.162,27,4.804,4,15.566,10,0.000,0,0.000,0,0.000,0,3.132,2,5.972,4,6.214,4,7.106,5
2014-05-23,40.918,26,27.038,20,5.724,3,22.517,14,95.920,54,7.630,5,13.962,9,5.361,3,2.273,1,7.740,4,17.038,10,0.000,0,2.088,2,6.619,4
2014-05-24,61.202,35,12.267,8,1.044,1,27.758,19,93.607,59,16.747,7,28.487,16,0.000,0,2.205,1,5.790,4,13.209,8,1.512,1,6.736,4,11.971,6
2014-05-25,103.198,62,31.881,20,0.000,0,36.651,20,105.507,71,14.773,8,13.470,9,3.338,2,4.954,3,4.898,3,21.941,12,4.046,2,9.672,8,0.000,0
2014-05-26,28.565,17,16.014,10,0.000,0,29.572,20,1.044,1,14.129,6,2.474,2,2.882,2,1.612,1,3.682,3,1.895,1,2.152,1,6.434,5,1.230,1
2014-05-27,52.031,34,18.002,12,1.573,1,10.898,6,3.928,3,13.833,7,10.994,6,0.000,0,3.292,2,1.355,1,0.000,0,0.000,0,0.000,0,0.000,0
2014-05-28,74.830,49,27.273,18,21.566,12,18.300,11,20.092,14,3.710,2,6.608,6,0.000,0,4.611,2,6.856,3,0.000,0,12.146,6,7.808,4,3.957,3
2014-05-29,100.597,61,42.525,26,7.720,5,4.922,3,2.391,2,5.326,2,7.944,6,0.000,0,0.000,0,5.783,4,0.000,0,2.077,1,14.262,6,15.526,8
