clid	venue	lon	lat	user	year	doy	dow	hour
4	Pnc Ballpark	-80.0049	40.4466	timorlang	2014	220	5	23	0.000
4	Pnc Ballpark	-80.0049	40.4466	kellygee10	2014	208	0	3	0.000
4	Pnc Ballpark	-80.0049	40.4466	timorlang	2014	220	5	23	0.000
4	Pnc Ballpark	-80.0049	40.4466	kellygee10	2014	208	0	3	0.000
4	Pnc Ballpark	-80.0049	40.4466	jbjphoto	2014	114	4	18	0.000
4	Pnc Ballpark	-80.0049	40.4466	kellygee10	2014	208	0	3	0.000
3	Just posted a photo_4	-79.9702	40.4284	xXKGBXx	2014	49	2	14	0.000
0	Macy's	-79.9984	40.4395	twisted_view	2015	245	3	15	0.000
13	Mt. Washington Vista Point	-80.0065	40.4317	StephenKirk1	2014	248	5	13	0.000
0	Katz Plaza	-80.0004	40.4432	The_Nettie	2014	171	5	21	0.000
0	Katz Plaza	-80.0004	40.4432	The_Nettie	2014	171	5	21	0.000
2	stop drop and roll	-79.9880	40.4353	diannaconte	2014	304	5	2	-0.462
1	Caliban Book Shop	-79.9491	40.4449	grace_lee14	2015	80	6	22	0.000
0	Speakeasy At the Omni William Penn	-79.9973	40.4410	SuzyB419	2014	283	5	21	0.000
0	pixburg	-79.9948	40.4416	SNUBNOSECRUEL	2014	90	1	17	0.000
9	Sherwood Towers Apts	-79.9511	40.4510	JocelynLiang	2015	166	1	23	0.000
6	All Over Pittsburgh	-79.9828	40.4542	coolnofro	2014	116	6	18	0.000
6	Peace, Love and Little Donuts	-79.9841	40.4521	TannerGlaves	2014	166	0	16	0.562
6	Peace, Love and Little Donuts	-79.9841	40.4521	TannerGlaves	2014	166	0	16	0.562
6	Peace, Love and Little Donuts	-79.9841	40.4521	BenzaBurgh	2014	361	6	13	0.562
3	Kinky Friedman	-79.9866	40.4290	DrZpresents	2015	285	1	1	0.000
4	US Post Office	-80.0052	40.4500	Babyprincessmom	2014	80	5	13	0.000
0	Golden Triangle	-80.0004	40.4416	GeniaGor	2014	75	0	2	0.000
0	Golden Triangle	-80.0004	40.4416	GeniaGor	2014	75	0	2	0.000
21	Fallingwater Private Tours	-79.9773	40.4414	YmAlmansour	2014	159	0	0	0.000
3	The Urban Tap	-79.9859	40.4288	laurenashlyy	2014	109	6	1	0.000
3	The Urban Tap	-79.9859	40.4288	laurenashlyy	2014	109	6	1	0.000
3	The Urban Tap	-79.9859	40.4288	BurghBlake	2014	60	6	0	0.000
3	The Urban Tap	-79.9859	40.4288	EmilyKulaa	2014	177	4	3	0.000
4	Holy Trinity Lutheran Church	-80.0082	40.4489	cerebral2979	2014	181	1	20	0.000
0	Studio 41 Entertainment	-80.0028	40.4413	Studio41PGH	2015	200	0	1	0.359
0	Studio 41 Entertainment	-80.0028	40.4413	Studio41PGH	2015	267	4	1	0.359
0	Studio 41 Entertainment	-80.0028	40.4413	Studio41PGH	2015	241	6	20	0.359
0	Studio 41 Entertainment	-80.0028	40.4413	Studio41PGH	2015	267	4	1	0.359
0	Studio 41 Entertainment	-80.0028	40.4413	Studio41PGH	2015	241	6	20	0.359
0	Room 401	-80.0022	40.4352	npaigex	2015	42	3	19	0.000
0	Room 401	-80.0022	40.4352	npaigex	2015	42	3	19	0.000
0	Greyhound Station Pittsburgh	-79.9938	40.4444	inferngreen	2014	279	1	5	0.000
0	Greyhound Station Pittsburgh	-79.9938	40.4444	inferngreen	2014	279	1	5	0.000
5	on the river at Heinz Field	-80.0142	40.4447	TAJClothiers	2014	234	5	14	0.000
5	on the river at Heinz Field	-80.0142	40.4447	TAJClothiers	2014	234	5	14	0.000
5	on the river at Heinz Field	-80.0142	40.4447	TAJClothiers	2014	234	5	14	0.000
0	Peppi's	-80.0006	40.4371	EVLTNssoulbro	2014	241	5	15	0.000
12	bd's Mongolian Grill - Pittsburgh	-79.9659	40.4282	KemoBreezy	2014	108	5	22	0.000
0	The Rink at PPG Place	-80.0034	40.4397	DJTMI	2014	47	0	23	0.000
0	The Rink at PPG Place	-80.0034	40.4397	DJTMI	2014	47	0	23	0.000
0	The Rink at PPG Place	-80.0034	40.4397	DJTMI	2014	47	0	23	0.000
0	The Rink at PPG Place	-80.0034	40.4397	DJTMI	2014	47	0	23	0.000
3	Excuses Bar & Grill	-79.9687	40.4274	DrZpresents	2015	100	5	4	0.000
6	Leaf and Bean in the Strip	-79.9821	40.4521	timorlang	2014	338	4	13	0.000
6	Leaf and Bean in the Strip	-79.9821	40.4521	DrZpresents	2015	24	6	17	0.000
6	Leaf and Bean in the Strip	-79.9821	40.4521	DrZpresents	2015	66	6	17	0.000
0	Allegheny County Courthouse	-79.9962	40.4385	BenzaBurgh	2014	113	3	2	0.000
4	russell senate office building	-80.0083	40.4488	SalenaZitoTrib	2015	61	1	17	0.000
4	russell senate office building	-80.0083	40.4488	SalenaZitoTrib	2015	61	1	17	0.000
0	Da Burgh	-80.0050	40.4429	Football_ma	2015	187	1	5	0.000
0	Da Burgh	-80.0050	40.4429	Football_ma	2015	187	1	5	0.000
0	Da Burgh	-80.0050	40.4429	Football_ma	2015	187	1	5	0.000
0	Da Burgh	-80.0050	40.4429	Football_ma	2015	187	1	5	0.000
0	Da Burgh	-80.0050	40.4429	Football_ma	2015	187	1	5	0.000
