how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
134,2.00000,0.40000,0.26667,0.06667,0.33333,0.00000,0.60000,0.00000,0.00000,0.00000,0.00000,0.06667,0.00000,1.00000
135,1.25000,0.16667,0.20833,0.16667,0.20833,0.00000,0.45833,0.08333,0.00000,0.04167,0.00000,0.12500,0.12500,0.87500
136,3.56250,0.37500,0.31250,0.68750,0.00000,0.31250,0.37500,0.31250,0.00000,0.12500,0.31250,0.75000,0.37500,0.68750
137,1.06061,0.27273,0.00000,0.21212,0.36364,0.06061,0.30303,0.06061,0.00000,0.09091,0.03030,0.03030,0.00000,0.39394
138,1.71429,1.00000,0.07143,0.71429,0.35714,0.64286,1.00000,0.00000,0.00000,0.00000,0.00000,0.14286,0.07143,0.78571
139,1.00000,0.18182,0.00000,0.40909,0.40909,0.09091,0.68182,0.13636,0.00000,0.04545,0.13636,0.00000,0.00000,0.31818
140,0.64706,0.29412,0.29412,0.88235,0.47059,0.70588,0.35294,0.11765,0.00000,0.52941,0.05882,0.11765,0.00000,0.58824
141,1.23256,0.30233,0.09302,0.34884,0.30233,0.16279,0.04651,0.00000,0.00000,0.00000,0.09302,0.20930,0.00000,0.25581
142,0.89474,0.24561,0.07018,0.52632,0.12281,0.12281,0.10526,0.00000,0.00000,0.12281,0.01754,0.17544,0.03509,0.05263
143,0.86154,0.16923,0.04615,0.30769,0.15385,0.10769,0.21538,0.00000,0.00000,0.12308,0.03077,0.13846,0.06154,0.09231
144,1.01695,0.20339,0.00000,0.25424,0.15254,0.01695,0.05085,0.05085,0.00000,0.03390,0.03390,0.16949,0.00000,0.10169
145,0.80488,0.07317,0.04878,0.46341,0.07317,0.04878,0.07317,0.00000,0.00000,0.24390,0.02439,0.34146,0.07317,0.21951
146,1.12500,0.07500,0.05000,0.40000,0.32500,0.05000,0.10000,0.00000,0.00000,0.20000,0.02500,0.15000,0.15000,0.10000
147,1.14815,0.18519,0.07407,0.88889,0.14815,0.18519,0.22222,0.00000,0.00000,0.14815,0.11111,0.03704,0.00000,0.33333
148,1.31250,0.00000,0.00000,1.43750,0.00000,0.00000,0.56250,0.00000,0.00000,0.18750,0.06250,0.00000,0.00000,0.50000
149,0.81250,0.56250,0.00000,1.00000,0.00000,0.12500,0.18750,0.00000,0.00000,0.06250,0.00000,0.00000,0.18750,0.00000
150,0.26667,0.13333,0.00000,0.06667,0.00000,0.00000,0.53333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
151,2.00000,0.00000,0.00000,0.33333,0.00000,0.00000,1.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
154,2.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
155,0.71429,0.00000,0.14286,0.14286,0.28571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.14286
156,3.00000,0.00000,0.00000,1.33333,0.00000,0.00000,1.33333,0.00000,0.00000,0.66667,0.00000,2.66667,0.00000,8.33333
157,1.57143,0.14286,0.00000,0.85714,0.14286,0.00000,1.14286,0.00000,0.00000,0.14286,0.07143,0.14286,0.14286,0.35714
158,0.62162,0.16216,0.08108,0.37838,0.05405,0.05405,0.18919,0.05405,0.00000,0.02703,0.02703,0.05405,0.08108,0.21622
159,1.00000,0.31250,0.03125,0.34375,0.28125,0.15625,0.50000,0.15625,0.00000,0.09375,0.03125,0.03125,0.03125,0.50000
160,1.06122,0.32653,0.04082,0.24490,0.08163,0.24490,0.44898,0.00000,0.00000,0.10204,0.08163,0.20408,0.04082,0.12245
161,1.46154,0.28846,0.05769,0.32692,0.15385,0.13462,0.63462,0.03846,0.00000,0.05769,0.03846,0.07692,0.00000,0.44231
162,1.12821,0.38462,0.00000,0.41026,0.30769,0.02564,0.76923,0.00000,0.00000,0.10256,0.05128,0.23077,0.20513,0.38462
163,0.71429,0.21429,0.00000,0.17143,0.10000,0.00000,0.40000,0.07143,0.00000,0.01429,0.04286,0.02857,0.11429,0.24286
164,0.48864,0.20455,0.02273,0.17045,0.03409,0.06818,0.19318,0.02273,0.00000,0.03409,0.02273,0.04545,0.05682,0.07955
165,0.69231,0.09615,0.05769,0.46154,0.19231,0.03846,0.28846,0.01923,0.00000,0.17308,0.03846,0.09615,0.03846,0.26923
166,0.59322,0.13559,0.05085,0.27119,0.16949,0.05085,0.22034,0.00000,0.00000,0.06780,0.01695,0.15254,0.03390,0.05085
167,0.42857,0.15385,0.02198,0.29670,0.05495,0.02198,0.05495,0.01099,0.00000,0.02198,0.00000,0.06593,0.04396,0.15385
